backbone	status	mode	n	probe_acc	cka_off_diag	mmd_mean	rank_mean	pdms_drop	total_pdms
dinov2	frozen	LatTF	15	0.7962854349951124	0.8295784773638668	0.06935453216234842	58.605114477393265	9.955555555555556	61.81333333333333
dinov2	frozen	TF	15	0.7373411534701857	0.8475683505810221	0.05948829650878906	61.53651983894494	12.413333333333332	61.766666666666666
dinov2	trainable	LatTF	15	0.7652981427174975	0.8205459292907592	0.061816763215594824	65.2847661867894	9.953333333333333	62.233333333333334
dinov2	trainable	TF	15	0.6924731182795699	0.8636987241405129	0.04656973812315199	51.63795870400021	12.837777777777779	60.04666666666667
ijepa	frozen	LatTF	15	0.8280547409579667	0.7702481612938546	0.08106421497133043	68.99757074194287	11.642222222222221	62.56666666666667
ijepa	frozen	TF	15	0.8256109481915933	0.7918763119597912	0.08362491925557454	66.17420450818838	11.384444444444446	61.00666666666667
ijepa	trainable	LatTF	15	0.8312805474095797	0.826006171428753	0.08891801834106446	46.510708531362276	9.495555555555557	62.3
ijepa	trainable	TF	15	0.752297165200391	0.8217016254499513	0.06691945526334975	52.766503720524426	12.455555555555554	62.1
mae	frozen	LatTF	15	0.8958944281524927	0.7682997684379562	0.0917905675040351	72.58643170480552	6.9	64.24666666666667
mae	frozen	TF	15	0.8869990224828934	0.748475666674885	0.09396936628553602	80.25045879794992	11.175555555555556	62.57333333333333
mae	trainable	LatTF	15	0.8886608015640274	0.780993757759383	0.09740969141324361	49.102673755250514	9.166666666666666	65.03999999999999
mae	trainable	TF	15	0.8501466275659824	0.7646228069108507	0.10711338188913133	47.46726192178271	11.693333333333335	62.17333333333333
resnet34	supervised	LatTF	5	0.9750733137829912	0.7463936346499281	0.09689701000849406	63.27997827367012	8.673333333333336	63.32
resnet34	supervised	TF	2	0.9816715542521994	0.7542200537318837	0.09453477462132773	69.68235862938474	-4.216666666666665	63.7
